row_id,rating_num
14785,7.4979253
15125,4.284891
13095,5.773234
6079,6.6806183
16584,6.141493
18508,6.9155574
18731,4.9080496
13610,7.5533156
21768,4.991887
14463,6.2337646
4031,7.948729
22418,6.928982
5288,7.45853
11744,5.6011324
4123,5.4894557
25449,6.657657
19207,7.665128
4488,6.883193
19810,6.15579
21238,7.0022526
18326,8.217497
17178,5.811827
21709,5.467748
4027,7.018065
23561,6.370154
9246,6.4948444
14185,7.58668
23650,7.0762157
29151,6.4561563
2585,7.144167
2286,5.9873166
3243,5.578891
14552,7.4855223
26746,6.2100163
12891,6.3313694
21499,6.6507573
28160,5.853147
14105,6.6598225
17309,7.0940166
10918,6.646555
24719,5.636045
21121,5.739131
10532,5.919024
26159,5.8607187
12023,4.2921677
12018,7.5660124
21079,6.5915346
9136,4.563206
21235,4.8243017
23907,6.267107
8350,6.0442176
28069,5.7061834
5750,7.122055
27778,6.0924063
17016,6.1846647
9779,5.897939
17427,7.528421
24122,5.214912
13958,7.040662
1839,8.074076
14444,6.4806185
16671,6.127697
106,6.238981
22230,6.1530137
25307,5.4293427
2292,7.3797426
27909,5.458098
26929,4.9384
26110,5.068607
21830,6.2153654
25693,6.79267
16496,7.0435586
16402,4.3977394
26636,5.5458746
18458,6.033281
19122,6.152262
21646,5.258567
28172,5.4270973
27955,5.8342495
1367,7.8945155
12203,5.1313744
20498,6.162462
19714,4.9934034
18249,6.777136
29005,6.6879406
25340,5.6440606
6245,7.7540574
1975,6.402608
25669,5.386651
17560,5.446765
14459,7.6193814
29048,5.3785324
26839,5.073683
2041,3.7344537
13597,7.3254337
25721,5.899997
4004,6.3127103
8160,4.834238
8958,5.8839006
25944,5.49486
10426,7.2956524
26295,6.1883287
28538,5.289819
24875,5.573783
11587,7.6259856
21775,5.533242
2299,6.711874
7789,7.1972218
19451,4.1450825
12791,6.949403
18833,7.024116
10807,6.4220667
16688,7.1190867
28470,5.6393995
28049,6.1252103
25209,6.589113
4283,4.738082
7091,6.9442315
26829,5.637081
17428,5.2583117
27396,5.535581
24624,5.5723047
28772,6.1425796
9389,6.3083687
29088,5.469098
5090,6.877196
16059,7.6919127
7680,5.9921618
19217,6.160923
4277,6.576697
6140,6.6522374
6797,6.1254907
25655,6.9790487
4257,5.735446
11931,7.6305566
25268,7.302928
9695,5.286876
27086,6.2656007
17772,7.0681605
28045,5.6737237
20788,5.584173
22520,5.1108427
5351,6.365921
20320,6.091905
2611,7.5507274
29198,5.076554
14716,5.6648173
27235,5.7534466
20929,6.4698806
27307,5.8178744
13659,5.461426
29197,6.0110073
28730,5.578298
13701,7.0713263
26933,6.5579886
5976,8.34004
27435,5.058942
870,5.506127
3183,5.431241
10497,6.145307
20692,6.180766
24687,5.8151307
11217,7.394487
25124,5.5989795
4475,7.128597
22241,6.030673
3782,5.791996
25034,6.4298606
205,8.817515
18590,6.6786394
1825,6.100505
28862,5.2281995
3758,5.9826884
29004,4.8457217
17773,4.399806
15161,7.1834683
14683,6.597881
11875,6.519707
24247,8.113937
1203,7.098454
21696,5.037593
16741,7.3210993
24362,5.9974008
10656,5.126844
23618,5.63301
14301,6.762891
26200,5.5708747
23175,5.7204423
3639,6.4068465
28233,5.153442
27057,5.3247094
25026,5.920008
12961,6.577809
13767,7.0860224
26169,6.937654
25838,5.976314
26202,6.0645723
22159,6.3409014
4777,6.7667212
14632,6.1636343
11757,6.6173778
3116,6.438907
6173,8.191381
3723,5.3496985
19493,6.8851037
4207,7.278941
14079,6.987521
7613,7.702949
27313,5.4890704
19002,6.9421444
6266,4.6750836
7240,5.3628836
25435,5.813508
10288,5.88079
11028,7.899025
6946,5.5065627
16405,7.40087
16181,6.2239146
4158,9.2230425
16780,7.3768454
25719,4.7922034
15053,6.2365847
2644,6.181539
23500,4.578704
1013,7.1629295
11715,5.7089844
13768,5.3736706
4157,7.7127647
2333,6.365547
28604,5.716429
25316,6.14604
19298,6.831066
25079,7.0678935
8330,7.5750537
24317,5.3680406
13242,6.0838265
25014,5.737414
567,7.394942
7520,5.3190026
8926,9.986827
12534,4.6556244
21045,5.5203047
18722,6.8350725
25265,6.4110527
15854,5.128654
28524,6.2293844
23717,7.9916515
21889,5.987855
28064,6.2709117
28705,5.953947
23416,6.7268896
18346,7.737637
23851,7.704567
28780,5.606965
12118,6.6506767
10926,5.3128223
6070,7.1626806
2149,7.2924805
6098,7.70726
19125,7.2740593
23985,6.6088877
26527,5.6034307
4770,7.542535
19567,7.5974383
26479,6.3668313
24107,7.9766383
9029,5.133539
11022,8.0762825
1472,5.483362
7356,6.4242444
12014,7.088699
24849,5.4692183
5104,6.054331
4663,7.4022894
25629,5.9643846
16195,8.369328
26486,6.386511
2222,5.951215
12833,5.573527
28879,5.2536297
5254,7.350425
4805,7.4627604
23411,4.2554035
2733,6.0127134
2961,7.8265476
8966,5.491819
25068,6.881919
7403,6.4970813
23555,6.599126
5096,3.535019
10018,6.9243703
26173,5.64106
11214,7.0838437
27201,6.1424894
21951,6.809801
1616,6.170497
24284,5.66568
3759,6.1182637
8434,6.566185
7195,7.204746
16238,6.2404914
14701,7.402743
6611,8.256183
6278,7.235784
13108,6.4527874
10740,7.28045
3663,6.8037496
28452,5.3698306
23436,6.618728
9525,7.804306
24535,6.4870396
12981,7.616657
11251,6.004085
18494,7.5812225
24445,5.9248075
18370,5.1950455
1717,7.61459
8488,6.9565444
15118,6.430491
100,6.6007876
11912,6.4400134
11767,6.1721864
11762,4.2832403
27379,5.1877813
10486,6.4898357
14239,6.7262764
1530,5.8770423
8908,5.0588403
20365,7.4635167
27727,5.785614
4204,7.0236692
23190,7.0410953
11998,7.0116735
9404,5.9037127
20662,5.619973
12142,7.131502
